iter	Passed	Remaining
1150	46237	111917
1151	46272	111866
1152	46309	111818
1153	46364	111813
1154	46401	111765
1155	46438	111718
1156	46476	111671
1157	46511	111619
1158	46564	111609
1159	46601	111562
1160	46640	111518
1161	46675	111467
1162	46712	111419
1163	46766	111412
1164	46805	111368
1165	46842	111322
1166	46881	111278
1167	46917	111227
1168	46974	111226
1169	47012	111181
1170	47049	111134
1171	47086	111086
1172	47124	111040
1173	47178	111033
1174	47215	110986
1175	47252	110937
1176	47288	110888
1177	47324	110839
1178	47381	110838
1179	47420	110794
1180	47459	110752
1181	47498	110709
1182	47534	110660
1183	47591	110657
1184	47627	110607
1185	47662	110555
1186	47698	110506
1187	47735	110459
1188	47792	110457
1189	47830	110411
1190	47866	110361
1191	47905	110318
1192	47940	110266
1193	47990	110249
1194	48028	110203
1195	48067	110160
1196	48102	110108
1197	48139	110061
1198	48189	110043
1199	48228	110000
1200	48265	109954
1201	48302	109906
1202	48339	109858
1203	48393	109849
1204	48427	109796
1205	48463	109745
1206	48499	109695
1207	48534	109644
1208	48588	109635
1209	48627	109592
1210	48662	109541
1211	48698	109491
1212	48733	109440
1213	48787	109431
1214	48822	109378
1215	48857	109326
1216	48892	109274
1217	48927	109224
1218	48976	109203
1219	49012	109153
1220	49047	109102
1221	49082	109050
1222	49117	108999
1223	49171	108988
1224	49208	108940
1225	49244	108892
1226	49281	108845
1227	49316	108793
1228	49370	108784
1229	49410	108743
1230	49446	108693
1231	49482	108644
1232	49516	108591
1233	49568	108577
1234	49604	108527
1235	49641	108480
1236	49681	108440
1237	49717	108389
1238	49774	108386
1239	49814	108346
1240	49851	108299
1241	49889	108253
1242	49923	108201
1243	49977	108190
1244	50014	108144
1245	50052	108099
1246	50087	108048
1247	50122	107995
1248	50171	107976
1249	50207	107925
1250	50244	107879
1251	50278	107826
1252	50313	107774
1253	50347	107720
1254	50401	107711
1255	50438	107664
1256	50474	107615
1257	50509	107563
1258	50546	107516
1259	50601	107507
1260	50636	107455
1261	50673	107409
1262	50706	107355
1263	50742	107305
1264	50801	107305
1265	50837	107257
1266	50875	107212
1267	50911	107163
1268	50945	107109
1269	50998	107095
1270	51035	107050
1271	51070	106998
1272	51105	106948
1273	51140	106896
1274	51193	106883
1275	51228	106832
1276	51263	106781
1277	51297	106730
1278	51334	106682
1279	51386	106666
1280	51421	106616
1281	51457	106568
1282	51492	106516
1283	51527	106467
1284	51581	106455
1285	51618	106407
1286	51654	106359
1287	51688	106307
1288	51725	106259
1289	51775	106239
1290	51812	106194
1291	51848	106144
1292	51884	106095
1293	51919	106045
1294	51974	106036
1295	52011	105989
1296	52046	105939
1297	52081	105888
1298	52119	105843
1299	52173	105831
1300	52209	105784
1301	52246	105737
1302	52283	105689
1303	52319	105642
1304	52376	105636
1305	52412	105586
1306	52452	105546
1307	52490	105503
1308	52526	105453
1309	52578	105437
1310	52613	105388
1311	52652	105345
1312	52690	105301
1313	52727	105254
1314	52779	105237
1315	52814	105187
1316	52850	105139
1317	52885	105087
1318	52920	105038
1319	52974	105025
1320	53010	104977
1321	53045	104926
1322	53079	104874
1323	53113	104822
1324	53166	104808
1325	53200	104756
1326	53236	104707
1327	53272	104659
1328	53306	104607
1329	53364	104601
1330	53402	104558
1331	53437	104508
1332	53475	104463
1333	53510	104414
1334	53569	104409
1335	53607	104366
1336	53648	104327
1337	53684	104280
1338	53720	104230
1339	53774	104217
1340	53810	104169
1341	53846	104122
1342	53881	104070
1343	53914	104018
1344	53967	104003
1345	54003	103954
1346	54042	103912
1347	54080	103867
1348	54114	103816
1349	54165	103797
1350	54199	103745
1351	54235	103698
1352	54270	103646
1353	54304	103596
1354	54340	103548
1355	54393	103531
1356	54430	103485
1357	54466	103437
1358	54505	103395
1359	54538	103342
1360	54590	103324
1361	54628	103281
1362	54664	103232
1363	54701	103186
1364	54738	103140
1365	54789	103120
1366	54824	103071
1367	54860	103023
1368	54898	102979
1369	54930	102925
1370	54984	102909
1371	55021	102863
1372	55058	102818
1373	55092	102766
1374	55126	102716
1375	55180	102700
1376	55214	102650
1377	55247	102597
1378	55283	102548
1379	55317	102497
1380	55351	102445
1381	55407	102435
1382	55442	102386
1383	55480	102341
1384	55518	102297
1385	55555	102253
1386	55593	102208
1387	55627	102157
1388	55661	102106
1389	55696	102056
1390	55730	102004
1391	55768	101961
1392	55805	101915
1393	55839	101865
1394	55873	101813
1395	55910	101768
1396	55946	101721
1397	55981	101672
1398	56036	101659
1399	56072	101611
1400	56106	101560
1401	56139	101507
1402	56174	101458
1403	56207	101406
1404	56262	101392
1405	56299	101346
1406	56335	101300
1407	56370	101249
1408	56403	101198
1409	56456	101180
1410	56491	101132
1411	56527	101084
1412	56562	101036
1413	56596	100985
1414	56648	100966
1415	56687	100923
1416	56722	100874
1417	56756	100825
1418	56792	100777
1419	56845	100761
1420	56882	100714
1421	56915	100663
1422	56951	100615
1423	56987	100568
1424	57039	100549
1425	57079	100509
1426	57118	100467
1427	57154	100421
1428	57194	100379
1429	57271	100405
1430	57312	100366
1431	57355	100331
1432	57391	100285
1433	57426	100235
1434	57480	100219
1435	57515	100172
1436	57551	100124
1437	57588	100078
1438	57623	100030
1439	57674	100009
1440	57713	99967
1441	57750	99922
1442	57789	99879
1443	57824	99830
1444	57875	99810
1445	57911	99762
1446	57945	99713
1447	57982	99667
1448	58016	99617
1449	58068	99598
1450	58104	99550
1451	58140	99503
1452	58174	99453
1453	58208	99402
1454	58255	99374
1455	58290	99325
1456	58324	99275
1457	58357	99224
1458	58391	99173
1459	58425	99122
1460	58472	99094
1461	58507	99045
1462	58543	98999
1463	58582	98957
1464	58618	98911
1465	58672	98895
1466	58708	98847
1467	58746	98803
1468	58782	98757
1469	58819	98712
1470	58875	98699
1471	58911	98653
1472	58948	98607
1473	58983	98558
1474	59018	98510
1475	59067	98486
1476	59103	98438
1477	59138	98391
1478	59173	98343
1479	59209	98295
1480	59265	98281
1481	59299	98232
1482	59335	98185
1483	59368	98134
1484	59402	98083
1485	59436	98034
1486	59487	98012
1487	59522	97963
1488	59560	97920
1489	59596	97874
1490	59632	97827
1491	59687	97811
1492	59722	97764
1493	59758	97716
1494	59794	97670
1495	59830	97624
1496	59879	97599
1497	59914	97550
1498	59951	97505
1499	59986	97457
1500	60019	97407
1501	60071	97386
1502	60105	97336
1503	60139	97286
1504	60174	97239
1505	60209	97191
1506	60246	97145
1507	60294	97119
1508	60330	97071
1509	60366	97026
1510	60403	96980
1511	60437	96932
1512	60487	96908
1513	60523	96862
1514	60559	96814
1515	60592	96764
1516	60629	96719
1517	60682	96699
1518	60719	96655
1519	60759	96616
1520	60795	96568
1521	60831	96522
1522	60881	96499
1523	60919	96456
1524	60956	96410
1525	60992	96365
1526	61030	96322
1527	61081	96299
1528	61116	96251
1529	61153	96206
1530	61188	96159
1531	61224	96113
1532	61278	96095
1533	61315	96050
1534	61351	96003
1535	61385	95954
1536	61421	95908
1537	61471	95884
1538	61508	95838
1539	61542	95790
1540	61579	95745
1541	61614	95698
1542	61669	95681
1543	61705	95635
1544	61740	95588
1545	61776	95541
1546	61810	95492
1547	61862	95471
1548	61898	95425
1549	61934	95378
1550	61969	95331
1551	62003	95282
1552	62057	95264
1553	62095	95221
1554	62129	95172
1555	62167	95128
1556	62202	95081
1557	62257	95065
1558	62295	95021
1559	62333	94978
1560	62370	94933
1561	62405	94886
1562	62460	94869
1563	62495	94822
1564	62529	94773
1565	62563	94724
1566	62601	94680
1567	62657	94664
1568	62692	94618
1569	62730	94575
1570	62764	94526
1571	62798	94477
1572	62848	94453
1573	62883	94404
1574	62918	94357
1575	62951	94307
1576	62985	94259
1577	63019	94210
1578	63067	94182
1579	63100	94131
1580	63134	94082
1581	63167	94032
1582	63199	93980
1583	63232	93930
1584	63282	93905
1585	63315	93855
1586	63348	93805
1587	63382	93755
1588	63415	93706
1589	63448	93655
1590	63497	93629
1591	63530	93580
1592	63562	93528
1593	63596	93479
1594	63629	93430
1595	63663	93381
1596	63709	93349
1597	63746	93305
1598	63782	93259
1599	63816	93211
1600	63850	93163
1601	63903	93142
1602	63938	93096
1603	63976	93052
1604	64011	93006
1605	64048	92961
1606	64104	92945
1607	64140	92900
1608	64178	92857
1609	64215	92813
1610	64253	92770
1611	64305	92748
1612	64341	92703
1613	64377	92658
1614	64415	92614
1615	64448	92564
1616	64499	92540
1617	64534	92493
1618	64570	92448
1619	64606	92403
1620	64642	92358
1621	64702	92347
1622	64742	92307
1623	64778	92261
1624	64812	92213
1625	64848	92167
1626	64899	92144
1627	64940	92105
1628	64974	92056
1629	65007	92008
1630	65041	91959
1631	65073	91908
1632	65132	91895
1633	65165	91845
1634	65200	91799
1635	65237	91754
1636	65273	91709
1637	65331	91695
1638	65369	91652
1639	65402	91603
1640	65436	91555
1641	65469	91505
1642	65503	91457
1643	65554	91433
1644	65587	91383
1645	65621	91335
1646	65654	91286
1647	65687	91236
1648	65720	91187
1649	65771	91162
1650	65808	91119
1651	65844	91073
1652	65882	91031
1653	65920	90989
1654	65975	90971
1655	66015	90930
1656	66052	90887
1657	66089	90843
1658	66125	90797
1659	66180	90779
1660	66216	90733
